Age,Gender,SkinType,HairType,Budget,Concern,Rating,RecommendedService
58,Female,Combination,Wavy,1000,Aging,3.0,Anti-Aging Facial
52,Female,Sensitive,Straight,500,Acne,3.5,Deep Cleansing Facial
56,Female,Dry,Thinning,2000,Aging,4.5,Anti-Aging Facial
18,Male,Dry,Coily,1500,Hair Fall,3.5,Scalp Treatment
39,Female,Sensitive,Straight,1500,Dullness,4.0,Vitamin C Glow Facial
20,Male,Normal,Straight,2000,Acne,5.0,Chemical Peel Treatment
58,Female,Combination,Thinning,1000,Frizz,3.0,Deep Cleansing Facial
36,Non-binary,Dry,Straight,2000,Hair Fall,4.5,Advanced Hair Spa
41,Female,Combination,Wavy,5000,Hair Fall,3.0,Advanced Hair Spa
28,Female,Dry,Wavy,2000,Dandruff,4.0,Anti-Dandruff Spa
58,Female,Dry,Curly,10000,Dullness,3.0,Keratin Therapy
20,Male,Sensitive,Curly,500,Aging,5.0,Anti-Aging Facial
38,Female,Sensitive,Coily,5000,Dandruff,3.5,Keratin Therapy
33,Male,Normal,Curly,5000,Pigmentation,4.5,Keratin Therapy
43,Female,Dry,Thinning,2000,Acne,3.0,Chemical Peel Treatment
27,Female,Sensitive,Thinning,500,Dandruff,4.5,Scalp Treatment
47,Female,Normal,Straight,5000,Frizz,3.0,Keratin Therapy
52,Male,Combination,Straight,1500,Dandruff,3.5,Anti-Dandruff Spa
64,Male,Combination,Thinning,10000,Aging,5.0,Gold Glow Therapy
58,Female,Normal,Thinning,1000,Aging,4.0,Anti-Aging Facial
52,Non-binary,Normal,Straight,3000,Hair Fall,4.5,Anti-Aging Facial
37,Female,Dry,Thinning,500,Acne,4.5,Deep Cleansing Facial
52,Male,Dry,Coily,3000,Aging,4.0,Gold Glow Therapy
56,Female,Dry,Thinning,10000,Frizz,3.5,Advanced Hair Spa
43,Non-binary,Combination,Coily,3000,Dandruff,3.0,Keratin Therapy
22,Female,Normal,Thinning,1000,Pigmentation,3.5,Vitamin C Glow Facial
58,Female,Oily,Straight,10000,Hair Fall,3.0,Chemical Peel Treatment
35,Female,Dry,Thinning,1000,Frizz,5.0,Scalp Treatment
33,Male,Sensitive,Wavy,500,Acne,4.5,Deep Cleansing Facial
44,Female,Oily,Straight,500,Dandruff,4.0,Deep Cleansing Facial
24,Female,Dry,Thinning,2000,Aging,4.5,Anti-Aging Facial
47,Female,Oily,Coily,10000,Dullness,5.0,Chemical Peel Treatment
59,Non-binary,Oily,Straight,10000,Dullness,3.5,Chemical Peel Treatment
49,Female,Sensitive,Straight,1000,Dandruff,3.0,Anti-Dandruff Spa
34,Male,Sensitive,Curly,2000,Frizz,5.0,Keratin Therapy
49,Female,Combination,Wavy,500,Pigmentation,5.0,De-Tan Treatment
38,Female,Normal,Coily,3000,Dullness,5.0,Keratin Therapy
50,Female,Dry,Straight,3000,Acne,3.5,Chemical Peel Treatment
54,Female,Normal,Straight,3000,Acne,4.5,Chemical Peel Treatment
54,Female,Combination,Wavy,5000,Frizz,4.0,Keratin Therapy
43,Female,Combination,Coily,1500,Dullness,3.0,Hydrating Facial
54,Non-binary,Oily,Thinning,1000,Pigmentation,4.0,Deep Cleansing Facial
40,Male,Dry,Curly,1500,Aging,4.5,Anti-Aging Facial
63,Female,Normal,Straight,5000,Dullness,5.0,Vitamin C Glow Facial
60,Female,Dry,Curly,500,Acne,5.0,Deep Cleansing Facial
36,Female,Combination,Wavy,5000,Frizz,4.0,Keratin Therapy
34,Male,Oily,Straight,5000,Dandruff,4.0,Anti-Aging Facial
26,Female,Combination,Wavy,5000,Dandruff,5.0,Anti-Dandruff Spa
53,Female,Oily,Wavy,3000,Acne,4.0,Chemical Peel Treatment
27,Female,Oily,Curly,1500,Dullness,3.0,Deep Cleansing Facial
31,Female,Oily,Curly,10000,Pigmentation,4.5,Chemical Peel Treatment
27,Male,Dry,Wavy,10000,Dullness,3.5,Hydrating Facial
19,Female,Combination,Coily,10000,Frizz,3.5,Keratin Therapy
62,Female,Oily,Coily,1000,Aging,4.5,Deep Cleansing Facial
32,Female,Dry,Coily,1500,Hair Fall,3.0,Scalp Treatment
35,Female,Normal,Coily,5000,Dullness,5.0,Keratin Therapy
19,Female,Combination,Wavy,3000,Hair Fall,3.0,Advanced Hair Spa
45,Female,Combination,Coily,3000,Pigmentation,3.0,Keratin Therapy
54,Female,Oily,Coily,500,Pigmentation,5.0,Deep Cleansing Facial
60,Female,Sensitive,Straight,5000,Hair Fall,5.0,Advanced Hair Spa
25,Male,Combination,Thinning,1500,Frizz,4.5,Scalp Treatment
62,Female,Dry,Wavy,2000,Frizz,4.5,Keratin Therapy
29,Female,Combination,Coily,3000,Dullness,3.0,Keratin Therapy
